Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status,unit,Nitrogen dioxide,status,unit,Nitrogen oxides as nitrogen dioxide,status,unit,Ozone,status,unit,PM<sub>2.5</sub> particulate matter (Hourly measured),status,unit
01-01-2024,01:00,5.45,R,ugm-3 (FIDAS),0.38156,R,ugm-3,4.42094,R,ugm-3,5.00599,R,ugm-3,62.7315,R,ugm-3,4.057,R,ugm-3 (Ref.eq)
01-01-2024,02:00,2.075,R,ugm-3 (FIDAS),0.38156,R,ugm-3,2.99066,R,ugm-3,3.57571,R,ugm-3,70.04907,R,ugm-3,1.179,R,ugm-3 (Ref.eq)
01-01-2024,03:00,2.725,R,ugm-3 (FIDAS),0.44516,R,ugm-3,2.24302,R,ugm-3,2.92558,R,ugm-3,69.05122,R,ugm-3,1.462,R,ugm-3 (Ref.eq)
01-01-2024,04:00,5.125,R,ugm-3 (FIDAS),0.34977,R,ugm-3,1.12153,R,ugm-3,1.65783,R,ugm-3,68.15316,R,ugm-3,2.83,R,ugm-3 (Ref.eq)
01-01-2024,05:00,6.425,R,ugm-3 (FIDAS),0.38156,R,ugm-3,2.9744,R,ugm-3,3.55946,R,ugm-3,65.60864,R,ugm-3,3.16,R,ugm-3 (Ref.eq)
01-01-2024,06:00,7.2,R,ugm-3 (FIDAS),0.34977,R,ugm-3,2.9744,R,ugm-3,3.5107,R,ugm-3,65.35918,R,ugm-3,3.42,R,ugm-3 (Ref.eq)
01-01-2024,07:00,5.2,R,ugm-3 (FIDAS),0.50875,R,ugm-3,4.04714,R,ugm-3,4.82721,R,ugm-3,62.01638,R,ugm-3,2.854,R,ugm-3 (Ref.eq)
01-01-2024,08:00,6.2,R,ugm-3 (FIDAS),0.66773,R,ugm-3,5.46119,R,ugm-3,6.48503,R,ugm-3,61.06842,R,ugm-3,2.995,R,ugm-3 (Ref.eq)
01-01-2024,09:00,5.325,R,ugm-3 (FIDAS),0.63594,R,ugm-3,4.97359,R,ugm-3,5.94868,R,ugm-3,61.66713,R,ugm-3,2.689,R,ugm-3 (Ref.eq)
01-01-2024,10:00,6.8,R,ugm-3 (FIDAS),0.76312,R,ugm-3,8.4843,R,ugm-3,9.65441,R,ugm-3,58.37423,R,ugm-3,3.16,R,ugm-3 (Ref.eq)
01-01-2024,11:00,9.475,R,ugm-3 (FIDAS),1.39906,R,ugm-3,10.09348,R,ugm-3,12.23867,R,ugm-3,57.02713,R,ugm-3,4.41,R,ugm-3 (Ref.eq)
01-01-2024,12:00,9.5,R,ugm-3 (FIDAS),1.81242,R,ugm-3,8.28944,R,ugm-3,11.06844,R,ugm-3,62.46541,R,ugm-3,4.198,R,ugm-3 (Ref.eq)
01-01-2024,13:00,9.375,R,ugm-3 (FIDAS),2.67094,R,ugm-3,11.02012,R,ugm-3,15.11549,R,ugm-3,62.31573,R,ugm-3,4.269,R,ugm-3 (Ref.eq)
01-01-2024,14:00,10.15,R,ugm-3 (FIDAS),2.95711,R,ugm-3,14.33582,R,ugm-3,18.86999,R,ugm-3,56.77767,R,ugm-3,4.929,R,ugm-3 (Ref.eq)
01-01-2024,15:00,11.475,R,ugm-3 (FIDAS),1.71703,R,ugm-3,15.74965,R,ugm-3,18.38239,R,ugm-3,53.83401,R,ugm-3,5.142,R,ugm-3 (Ref.eq)
01-01-2024,16:00,11.875,R,ugm-3 (FIDAS),2.35297,R,ugm-3,16.7737,R,ugm-3,20.38154,R,ugm-3,47.99659,R,ugm-3,6.085,R,ugm-3 (Ref.eq)
01-01-2024,17:00,12.5,R,ugm-3 (FIDAS),1.49445,R,ugm-3,21.11317,R,ugm-3,23.40463,R,ugm-3,41.41078,R,ugm-3,7.146,R,ugm-3 (Ref.eq)
01-01-2024,18:00,13.75,R,ugm-3 (FIDAS),0.85851,R,ugm-3,20.57671,R,ugm-3,21.89308,R,ugm-3,40.01379,R,ugm-3,8.09,R,ugm-3 (Ref.eq)
01-01-2024,19:00,11.225,R,ugm-3 (FIDAS),0.85851,R,ugm-3,18.91889,R,ugm-3,20.23526,R,ugm-3,38.91615,R,ugm-3,7.547,R,ugm-3 (Ref.eq)
01-01-2024,20:00,6.475,R,ugm-3 (FIDAS),0.60414,R,ugm-3,8.92312,R,ugm-3,9.84945,R,ugm-3,53.38498,R,ugm-3,4.458,R,ugm-3 (Ref.eq)
01-01-2024,21:00,3.2,R,ugm-3 (FIDAS),0.66773,R,ugm-3,6.04631,R,ugm-3,7.07015,R,ugm-3,60.86885,R,ugm-3,2.382,R,ugm-3 (Ref.eq)
01-01-2024,22:00,1.95,R,ugm-3 (FIDAS),0.54055,R,ugm-3,5.50993,R,ugm-3,6.33876,R,ugm-3,57.62584,R,ugm-3,1.25,R,ugm-3 (Ref.eq)
01-01-2024,23:00,1.85,R,ugm-3 (FIDAS),0.31797,R,ugm-3,7.85036,R,ugm-3,8.3379,R,ugm-3,52.83616,R,ugm-3,1.203,R,ugm-3 (Ref.eq)
01-01-2024,24:00:00,1.55,R,ugm-3 (FIDAS),0.28617,R,ugm-3,7.314,R,ugm-3,7.75279,R,ugm-3,54.03358,R,ugm-3,1.203,R,ugm-3 (Ref.eq)
02-01-2024,01:00,2.025,R,ugm-3 (FIDAS),0.38166,R,ugm-3,12.68009,R,ugm-3,13.26529,R,ugm-3,49.09422,R,ugm-3,1.321,R,ugm-3 (Ref.eq)
02-01-2024,02:00,3.925,R,ugm-3 (FIDAS),0.42406,R,ugm-3,9.62387,R,ugm-3,10.27409,R,ugm-3,64.86025,R,ugm-3,2.335,R,ugm-3 (Ref.eq)
02-01-2024,03:00,5.575,R,ugm-3 (FIDAS),0.28624,R,ugm-3,1.85327,R,ugm-3,2.29216,R,ugm-3,74.88864,R,ugm-3,3.302,R,ugm-3 (Ref.eq)
02-01-2024,04:00,7.6,R,ugm-3 (FIDAS),0.47707,R,ugm-3,1.60944,R,ugm-3,2.34093,R,ugm-3,75.03832,R,ugm-3,4.764,R,ugm-3 (Ref.eq)
02-01-2024,05:00,7.825,R,ugm-3 (FIDAS),0.89053,R,ugm-3,6.24257,R,ugm-3,7.60803,R,ugm-3,69.69982,R,ugm-3,4.788,R,ugm-3 (Ref.eq)
02-01-2024,06:00,7.175,R,ugm-3 (FIDAS),1.52662,R,ugm-3,9.65649,R,ugm-3,11.99728,R,ugm-3,65.05982,R,ugm-3,4.269,R,ugm-3 (Ref.eq)
02-01-2024,07:00,7.475,R,ugm-3 (FIDAS),2.76701,R,ugm-3,13.99709,R,ugm-3,18.23977,R,ugm-3,60.22025,R,ugm-3,4.505,R,ugm-3 (Ref.eq)
02-01-2024,08:00,10.325,R,ugm-3 (FIDAS),2.7352,R,ugm-3,17.89864,R,ugm-3,22.09255,R,ugm-3,58.32433,R,ugm-3,5.896,R,ugm-3 (Ref.eq)
02-01-2024,09:00,10.825,R,ugm-3 (FIDAS),1.97189,R,ugm-3,21.01981,R,ugm-3,24.04333,R,ugm-3,48.04648,R,ugm-3,5.943,R,ugm-3 (Ref.eq)
02-01-2024,10:00,13.225,R,ugm-3 (FIDAS),2.98964,R,ugm-3,26.67716,R,ugm-3,31.26121,R,ugm-3,43.45637,R,ugm-3,7.052,R,ugm-3 (Ref.eq)
02-01-2024,11:00,17.6,R,ugm-3 (FIDAS),1.87647,R,ugm-3,31.554,R,ugm-3,34.43122,R,ugm-3,33.9269,R,ugm-3,8.774,R,ugm-3 (Ref.eq)
02-01-2024,12:00,13.15,R,ugm-3 (FIDAS),4.071,R,ugm-3,44.67318,R,ugm-3,50.91529,R,ugm-3,22.00259,R,ugm-3,8.609,R,ugm-3 (Ref.eq)
02-01-2024,13:00,10.775,R,ugm-3 (FIDAS),4.8025,R,ugm-3,45.06341,R,ugm-3,52.42714,R,ugm-3,25.89421,R,ugm-3,7.547,R,ugm-3 (Ref.eq)
02-01-2024,14:00,7.075,R,ugm-3 (FIDAS),4.96153,R,ugm-3,40.38156,R,ugm-3,47.98912,R,ugm-3,37.36948,R,ugm-3,5.094,R,ugm-3 (Ref.eq)
02-01-2024,15:00,5.35,R,ugm-3 (FIDAS),3.14866,R,ugm-3,42.96617,R,ugm-3,47.79404,R,ugm-3,39.36518,R,ugm-3,3.986,R,ugm-3 (Ref.eq)
02-01-2024,16:00,3.5,R,ugm-3 (FIDAS),0.98594,R,ugm-3,23.36065,R,ugm-3,24.87241,R,ugm-3,62.61509,R,ugm-3,2.547,R,ugm-3 (Ref.eq)
02-01-2024,17:00,6.325,R,ugm-3 (FIDAS),3.91197,R,ugm-3,45.7461,R,ugm-3,51.74437,R,ugm-3,37.76862,R,ugm-3,4.151,R,ugm-3 (Ref.eq)
02-01-2024,18:00,3.8,R,ugm-3 (FIDAS),3.88017,R,ugm-3,41.55192,R,ugm-3,47.50143,R,ugm-3,45.20261,R,ugm-3,2.759,R,ugm-3 (Ref.eq)
02-01-2024,19:00,3.175,R,ugm-3 (FIDAS),3.65754,R,ugm-3,40.77159,R,ugm-3,46.37973,R,ugm-3,45.65164,R,ugm-3,1.651,R,ugm-3 (Ref.eq)
02-01-2024,20:00,5.425,R,ugm-3 (FIDAS),5.21596,R,ugm-3,57.45088,R,ugm-3,65.44858,R,ugm-3,22.20216,R,ugm-3,2.901,R,ugm-3 (Ref.eq)
02-01-2024,21:00,5.275,R,ugm-3 (FIDAS),3.78475,R,ugm-3,47.55055,R,ugm-3,53.35376,R,ugm-3,29.73593,R,ugm-3,3.278,R,ugm-3 (Ref.eq)
02-01-2024,22:00,4.625,R,ugm-3 (FIDAS),1.97189,R,ugm-3,39.40589,R,ugm-3,42.42941,R,ugm-3,34.72518,R,ugm-3,2.759,R,ugm-3 (Ref.eq)
02-01-2024,23:00,3.475,R,ugm-3 (FIDAS),5.08875,R,ugm-3,37.9431,R,ugm-3,45.74573,R,ugm-3,29.18711,R,ugm-3,2.288,R,ugm-3 (Ref.eq)
02-01-2024,24:00:00,2.225,R,ugm-3 (FIDAS),3.46671,R,ugm-3,23.89735,R,ugm-3,29.21289,R,ugm-3,48.64519,R,ugm-3,1.226,R,ugm-3 (Ref.eq)
03-01-2024,01:00,3.525,R,ugm-3 (FIDAS),4.02958,R,ugm-3,22.89381,R,ugm-3,29.07241,R,ugm-3,47.63071,R,ugm-3,2.288,R,ugm-3 (Ref.eq)
03-01-2024,02:00,3.925,R,ugm-3 (FIDAS),0.59383,R,ugm-3,9.10547,R,ugm-3,10.016,R,ugm-3,62.66498,R,ugm-3,2.288,R,ugm-3 (Ref.eq)
03-01-2024,03:00,3.275,R,ugm-3 (FIDAS),1.018,R,ugm-3,11.95093,R,ugm-3,13.51184,R,ugm-3,58.32433,R,ugm-3,1.958,R,ugm-3 (Ref.eq)
03-01-2024,04:00,4.5,R,ugm-3 (FIDAS),1.2725,R,ugm-3,12.92652,R,ugm-3,14.87766,R,ugm-3,51.93809,R,ugm-3,2.335,R,ugm-3 (Ref.eq)
03-01-2024,05:00,4.675,R,ugm-3 (FIDAS),0.82713,R,ugm-3,18.48734,R,ugm-3,19.75558,R,ugm-3,41.51056,R,ugm-3,2.5,R,ugm-3 (Ref.eq)
03-01-2024,06:00,7.3,R,ugm-3 (FIDAS),2.16325,R,ugm-3,29.07247,R,ugm-3,32.3894,R,ugm-3,29.38668,R,ugm-3,4.175,R,ugm-3 (Ref.eq)
03-01-2024,07:00,8.7,R,ugm-3 (FIDAS),25.86354,R,ugm-3,55.85283,R,ugm-3,95.5097,R,ugm-3,11.12603,R,ugm-3,5,R,ugm-3 (Ref.eq)
03-01-2024,08:00,8.425,R,ugm-3 (FIDAS),12.15237,R,ugm-3,47.41369,R,ugm-3,66.04706,R,ugm-3,13.42108,R,ugm-3,4.906,R,ugm-3 (Ref.eq)
03-01-2024,09:00,10.925,R,ugm-3 (FIDAS),34.6756,R,ugm-3,60.8773,R,ugm-3,114.0458,R,ugm-3,7.13463,R,ugm-3,5.425,R,ugm-3 (Ref.eq)
03-01-2024,10:00,14.625,R,ugm-3 (FIDAS),15.01549,R,ugm-3,53.21849,R,ugm-3,76.24191,R,ugm-3,10.37764,R,ugm-3,7.311,R,ugm-3 (Ref.eq)
03-01-2024,11:00,13.125,R,ugm-3 (FIDAS),13.20218,R,ugm-3,48.09663,R,ugm-3,68.33968,R,ugm-3,16.01549,R,ugm-3,6.934,R,ugm-3 (Ref.eq)
03-01-2024,12:00,10.825,R,ugm-3 (FIDAS),14.09293,R,ugm-3,49.07223,R,ugm-3,70.68108,R,ugm-3,14.11958,R,ugm-3,5.943,R,ugm-3 (Ref.eq)
03-01-2024,13:00,10.75,R,ugm-3 (FIDAS),22.77773,R,ugm-3,57.6088,R,ugm-3,92.53417,R,ugm-3,11.72474,R,ugm-3,5.802,R,ugm-3 (Ref.eq)
03-01-2024,14:00,11.225,R,ugm-3 (FIDAS),17.24236,R,ugm-3,55.12093,R,ugm-3,81.55885,R,ugm-3,12.6727,R,ugm-3,6.698,R,ugm-3 (Ref.eq)
03-01-2024,15:00,8.45,R,ugm-3 (FIDAS),36.48891,R,ugm-3,62.1456,R,ugm-3,118.09448,R,ugm-3,8.03269,R,ugm-3,5.024,R,ugm-3 (Ref.eq)
03-01-2024,16:00,5.225,R,ugm-3 (FIDAS),17.21055,R,ugm-3,54.4868,R,ugm-3,80.87594,R,ugm-3,14.96775,R,ugm-3,3.066,R,ugm-3 (Ref.eq)
03-01-2024,17:00,7.35,R,ugm-3 (FIDAS),41.73797,R,ugm-3,72.63326,R,ugm-3,136.63058,R,ugm-3,2.29506,R,ugm-3,4.788,R,ugm-3 (Ref.eq)
03-01-2024,18:00,8.375,R,ugm-3 (FIDAS),23.9866,R,ugm-3,62.77943,R,ugm-3,99.55838,R,ugm-3,6.33635,R,ugm-3,6.061,R,ugm-3 (Ref.eq)
03-01-2024,19:00,7.225,R,ugm-3 (FIDAS),19.56467,R,ugm-3,63.70613,R,ugm-3,93.70487,R,ugm-3,5.58796,R,ugm-3,5.425,R,ugm-3 (Ref.eq)
03-01-2024,20:00,6.275,R,ugm-3 (FIDAS),9.13018,R,ugm-3,50.63305,R,ugm-3,64.63246,R,ugm-3,18.70969,R,ugm-3,4.033,R,ugm-3 (Ref.eq)
03-01-2024,21:00,3.925,R,ugm-3 (FIDAS),2.48137,R,ugm-3,37.51128,R,ugm-3,41.316,R,ugm-3,28.28905,R,ugm-3,2.642,R,ugm-3 (Ref.eq)
03-01-2024,22:00,3.575,R,ugm-3 (FIDAS),2.35412,R,ugm-3,31.95044,R,ugm-3,35.56005,R,ugm-3,35.02454,R,ugm-3,2.429,R,ugm-3 (Ref.eq)
03-01-2024,23:00,3.45,R,ugm-3 (FIDAS),1.36794,R,ugm-3,32.29187,R,ugm-3,34.38935,R,ugm-3,29.63615,R,ugm-3,2.311,R,ugm-3 (Ref.eq)
03-01-2024,24:00:00,2.55,R,ugm-3 (FIDAS),0.38175,R,ugm-3,22.63357,R,ugm-3,23.21891,R,ugm-3,40.26325,R,ugm-3,1.769,R,ugm-3 (Ref.eq)
04-01-2024,01:00,3.425,R,ugm-3 (FIDAS),0.38184,R,ugm-3,21.59725,R,ugm-3,22.18273,R,ugm-3,38.11787,R,ugm-3,2.311,R,ugm-3 (Ref.eq)
04-01-2024,02:00,4.85,R,ugm-3 (FIDAS),0.33942,R,ugm-3,13.92111,R,ugm-3,14.44154,R,ugm-3,45.36891,R,ugm-3,3.16,R,ugm-3 (Ref.eq)
04-01-2024,03:00,5.125,R,ugm-3 (FIDAS),0.50912,R,ugm-3,17.95433,R,ugm-3,18.73497,R,ugm-3,41.01164,R,ugm-3,3.302,R,ugm-3 (Ref.eq)
04-01-2024,04:00,4.225,R,ugm-3 (FIDAS),0.28638,R,ugm-3,14.39274,R,ugm-3,14.83185,R,ugm-3,42.25895,R,ugm-3,2.948,R,ugm-3 (Ref.eq)
04-01-2024,05:00,3.475,R,ugm-3 (FIDAS),1.08189,R,ugm-3,18.68614,R,ugm-3,20.34501,R,ugm-3,40.66239,R,ugm-3,2.17,R,ugm-3 (Ref.eq)
04-01-2024,06:00,2.8,R,ugm-3 (FIDAS),4.04118,R,ugm-3,22.2476,R,ugm-3,28.44399,R,ugm-3,39.21551,R,ugm-3,1.651,R,ugm-3 (Ref.eq)
04-01-2024,07:00,5.55,R,ugm-3 (FIDAS),11.39166,R,ugm-3,43.27532,R,ugm-3,60.7423,R,ugm-3,18.75958,R,ugm-3,2.877,R,ugm-3 (Ref.eq)
04-01-2024,08:00,6.15,R,ugm-3 (FIDAS),14.54187,R,ugm-3,51.52052,R,ugm-3,73.81775,R,ugm-3,14.36904,R,ugm-3,2.995,R,ugm-3 (Ref.eq)
04-01-2024,09:00,7.925,R,ugm-3 (FIDAS),14.79644,R,ugm-3,50.6911,R,ugm-3,73.37865,R,ugm-3,16.71399,R,ugm-3,3.962,R,ugm-3 (Ref.eq)
04-01-2024,10:00,10.95,R,ugm-3 (FIDAS),9.80065,R,ugm-3,42.68993,R,ugm-3,57.71738,R,ugm-3,24.6469,R,ugm-3,6.981,R,ugm-3 (Ref.eq)
04-01-2024,11:00,9.325,R,ugm-3 (FIDAS),11.74169,R,ugm-3,41.27496,R,ugm-3,59.27863,R,ugm-3,26.29335,R,ugm-3,4.458,R,ugm-3 (Ref.eq)
04-01-2024,12:00,12.9,R,ugm-3 (FIDAS),7.60505,R,ugm-3,31.56614,R,ugm-3,43.22705,R,ugm-3,35.12432,R,ugm-3,5.755,R,ugm-3 (Ref.eq)
04-01-2024,13:00,13.7,R,ugm-3 (FIDAS),6.14132,R,ugm-3,28.29734,R,ugm-3,37.71389,R,ugm-3,36.6211,R,ugm-3,6.297,R,ugm-3 (Ref.eq)
04-01-2024,14:00,16.1,R,ugm-3 (FIDAS),7.73233,R,ugm-3,29.22426,R,ugm-3,41.08034,R,ugm-3,37.16991,R,ugm-3,6.981,R,ugm-3 (Ref.eq)
04-01-2024,15:00,18.95,R,ugm-3 (FIDAS),9.35517,R,ugm-3,37.71347,R,ugm-3,52.05786,R,ugm-3,28.08948,R,ugm-3,8.821,R,ugm-3 (Ref.eq)
04-01-2024,16:00,21.65,R,ugm-3 (FIDAS),18.99672,R,ugm-3,53.61825,R,ugm-3,82.74614,R,ugm-3,10.57721,R,ugm-3,11.698,R,ugm-3 (Ref.eq)
04-01-2024,17:00,29.85,R,ugm-3 (FIDAS),54.0945,R,ugm-3,62.88657,R,ugm-3,145.83031,R,ugm-3,2.09549,R,ugm-3,19.293,R,ugm-3 (Ref.eq)
04-01-2024,18:00,26.45,R,ugm-3 (FIDAS),76.46416,R,ugm-3,67.17899,R,ugm-3,184.42241,R,ugm-3,1.14753,R,ugm-3,16.274,R,ugm-3 (Ref.eq)
04-01-2024,19:00,32.6,R,ugm-3 (FIDAS),150.0645,R,ugm-3,72.64003,R,ugm-3,302.73572,R,ugm-3,1.59656,R,ugm-3,21.51,R,ugm-3 (Ref.eq)
04-01-2024,20:00,34.4,R,ugm-3 (FIDAS),134.44074,R,ugm-3,59.12618,R,ugm-3,265.26577,R,ugm-3,1.09764,R,ugm-3,24.151,R,ugm-3 (Ref.eq)
04-01-2024,21:00,31.375,R,ugm-3 (FIDAS),112.83476,R,ugm-3,53.32127,R,ugm-3,226.33215,R,ugm-3,1.44688,R,ugm-3,22.925,R,ugm-3 (Ref.eq)
04-01-2024,22:00,35.7,R,ugm-3 (FIDAS),100.26574,R,ugm-3,48.29657,R,ugm-3,202.03523,R,ugm-3,1.24731,R,ugm-3,27.335,R,ugm-3 (Ref.eq)
04-01-2024,23:00,36.6,R,ugm-3 (FIDAS),80.18714,R,ugm-3,47.95596,R,ugm-3,170.90785,R,ugm-3,1.29721,R,ugm-3,28.632,R,ugm-3 (Ref.eq)
04-01-2024,24:00:00,30.35,R,ugm-3 (FIDAS),61.34952,R,ugm-3,47.37134,R,ugm-3,141.4393,R,ugm-3,0.6985,R,ugm-3,23.632,R,ugm-3 (Ref.eq)
05-01-2024,01:00,25.425,R,ugm-3 (FIDAS),14.81068,R,ugm-3,43.46175,R,ugm-3,66.17114,R,ugm-3,4.98925,R,ugm-3,18.609,R,ugm-3 (Ref.eq)
05-01-2024,02:00,22.625,R,ugm-3 (FIDAS),1.40044,R,ugm-3,27.71755,R,ugm-3,29.86485,R,ugm-3,20.09005,R,ugm-3,16.392,R,ugm-3 (Ref.eq)
05-01-2024,03:00,12.8,R,ugm-3 (FIDAS),0.04244,R,ugm-3,16.98197,R,ugm-3,17.04704,R,ugm-3,36.52131,R,ugm-3,8.726,R,ugm-3 (Ref.eq)
05-01-2024,04:00,9.375,R,ugm-3 (FIDAS),0.16975,R,ugm-3,17.50248,R,ugm-3,17.76276,R,ugm-3,36.6211,R,ugm-3,6.061,R,ugm-3 (Ref.eq)
05-01-2024,05:00,9.8,R,ugm-3 (FIDAS),1.49592,R,ugm-3,23.42324,R,ugm-3,25.71696,R,ugm-3,30.73378,R,ugm-3,6.439,R,ugm-3 (Ref.eq)
05-01-2024,06:00,6.525,R,ugm-3 (FIDAS),1.08216,R,ugm-3,17.61623,R,ugm-3,19.27552,R,ugm-3,36.82067,R,ugm-3,4.387,R,ugm-3 (Ref.eq)
05-01-2024,07:00,5.975,R,ugm-3 (FIDAS),5.56992,R,ugm-3,35.76887,R,ugm-3,44.30929,R,ugm-3,19.00904,R,ugm-3,4.151,R,ugm-3 (Ref.eq)
05-01-2024,08:00,6.575,R,ugm-3 (FIDAS),11.90372,R,ugm-3,43.77114,R,ugm-3,62.02325,R,ugm-3,12.37334,R,ugm-3,4.387,R,ugm-3 (Ref.eq)
05-01-2024,09:00,9.6,R,ugm-3 (FIDAS),10.88522,R,ugm-3,44.25924,R,ugm-3,60.94967,R,ugm-3,13.37119,R,ugm-3,5.118,R,ugm-3 (Ref.eq)
05-01-2024,10:00,12,R,ugm-3 (FIDAS),5.63358,R,ugm-3,40.35594,R,ugm-3,48.99397,R,ugm-3,20.15657,R,ugm-3,7.028,R,ugm-3 (Ref.eq)
05-01-2024,11:00,8.325,R,ugm-3 (FIDAS),8.7209,R,ugm-3,40.25799,R,ugm-3,53.62986,R,ugm-3,22.6512,R,ugm-3,5,R,ugm-3 (Ref.eq)
05-01-2024,12:00,12.35,R,ugm-3 (FIDAS),6.77939,R,ugm-3,28.64411,R,ugm-3,39.03902,R,ugm-3,33.62755,R,ugm-3,8.491,R,ugm-3 (Ref.eq)
05-01-2024,13:00,7.325,R,ugm-3 (FIDAS),4.74239,R,ugm-3,26.3508,R,ugm-3,33.62236,R,ugm-3,32.43013,R,ugm-3,4.458,R,ugm-3 (Ref.eq)
05-01-2024,14:00,8.6,R,ugm-3 (FIDAS),5.18798,R,ugm-3,28.64429,R,ugm-3,36.59908,R,ugm-3,30.18496,R,ugm-3,4.646,R,ugm-3 (Ref.eq)
05-01-2024,15:00,10.575,R,ugm-3 (FIDAS),5.95186,R,ugm-3,36.06161,R,ugm-3,45.18767,R,ugm-3,20.25636,R,ugm-3,5.684,R,ugm-3 (Ref.eq)
05-01-2024,16:00,11.45,R,ugm-3 (FIDAS),6.97036,R,ugm-3,35.62231,R,ugm-3,46.31004,R,ugm-3,19.55786,R,ugm-3,6.462,R,ugm-3 (Ref.eq)
05-01-2024,17:00,12.925,R,ugm-3 (FIDAS),5.82454,R,ugm-3,40.25832,R,ugm-3,49.18917,R,ugm-3,16.11528,R,ugm-3,7.995,R,ugm-3 (Ref.eq)
05-01-2024,18:00,17.525,R,ugm-3 (FIDAS),30.10939,R,ugm-3,57.38391,R,ugm-3,103.551,R,ugm-3,2.74409,R,ugm-3,11.274,R,ugm-3 (Ref.eq)
05-01-2024,19:00,23.85,R,ugm-3 (FIDAS),41.02644,R,ugm-3,56.94347,R,ugm-3,119.8498,R,ugm-3,1.44688,R,ugm-3,16.863,R,ugm-3 (Ref.eq)
05-01-2024,20:00,29.1,R,ugm-3 (FIDAS),45.737,R,ugm-3,54.0638,R,ugm-3,124.19289,R,ugm-3,0.89807,R,ugm-3,21.486,R,ugm-3 (Ref.eq)
05-01-2024,21:00,26.25,R,ugm-3 (FIDAS),65.37494,R,ugm-3,53.76876,R,ugm-3,154.00894,R,ugm-3,0.6985,R,ugm-3,20.613,R,ugm-3 (Ref.eq)
05-01-2024,22:00,26.575,R,ugm-3 (FIDAS),48.5697,R,ugm-3,51.81873,R,ugm-3,126.29124,R,ugm-3,0.34925,R,ugm-3,21.651,R,ugm-3 (Ref.eq)
05-01-2024,23:00,17.075,R,ugm-3 (FIDAS),9.58026,R,ugm-3,44.45459,R,ugm-3,59.14412,R,ugm-3,6.13678,R,ugm-3,14.434,R,ugm-3 (Ref.eq)
05-01-2024,24:00:00,20.5,R,ugm-3 (FIDAS),8.81639,R,ugm-3,46.26023,R,ugm-3,59.7785,R,ugm-3,1.39699,R,ugm-3,17.807,R,ugm-3 (Ref.eq)
06-01-2024,01:00,17.525,R,ugm-3 (FIDAS),3.52318,R,ugm-3,40.15253,R,ugm-3,45.55465,R,ugm-3,3.39269,R,ugm-3,15,R,ugm-3 (Ref.eq)
06-01-2024,02:00,14.525,R,ugm-3 (FIDAS),2.58932,R,ugm-3,26.03075,R,ugm-3,30.00099,R,ugm-3,15.1008,R,ugm-3,11.84,R,ugm-3 (Ref.eq)
06-01-2024,03:00,7.925,R,ugm-3 (FIDAS),0.38203,R,ugm-3,11.42113,R,ugm-3,12.00691,R,ugm-3,25.99399,R,ugm-3,6.179,R,ugm-3 (Ref.eq)
06-01-2024,04:00,6.875,R,ugm-3 (FIDAS),0.73223,R,ugm-3,14.49601,R,ugm-3,15.61874,R,ugm-3,25.34539,R,ugm-3,5.566,R,ugm-3 (Ref.eq)
06-01-2024,05:00,3.375,R,ugm-3 (FIDAS),0.31836,R,ugm-3,4.68556,R,ugm-3,5.17371,R,ugm-3,43.10712,R,ugm-3,2.359,R,ugm-3 (Ref.eq)
06-01-2024,06:00,4.3,R,ugm-3 (FIDAS),2.76973,R,ugm-3,16.25274,R,ugm-3,20.49959,R,ugm-3,30.08518,R,ugm-3,2.453,R,ugm-3 (Ref.eq)
06-01-2024,07:00,5.625,R,ugm-3 (FIDAS),18.3375,R,ugm-3,39.72679,R,ugm-3,67.8439,R,ugm-3,6.18667,R,ugm-3,3.467,R,ugm-3 (Ref.eq)
06-01-2024,08:00,5.35,R,ugm-3 (FIDAS),23.52676,R,ugm-3,41.04367,R,ugm-3,77.11752,R,ugm-3,4.59011,R,ugm-3,3.42,R,ugm-3 (Ref.eq)
06-01-2024,09:00,6.2,R,ugm-3 (FIDAS),22.66718,R,ugm-3,43.38664,R,ugm-3,78.1425,R,ugm-3,4.64,R,ugm-3,3.632,R,ugm-3 (Ref.eq)
06-01-2024,10:00,9.075,R,ugm-3 (FIDAS),35.71992,R,ugm-3,47.24011,R,ugm-3,102.00989,R,ugm-3,5.58796,R,ugm-3,5.094,R,ugm-3 (Ref.eq)
06-01-2024,11:00,8.95,R,ugm-3 (FIDAS),18.81504,R,ugm-3,40.01956,R,ugm-3,68.86888,R,ugm-3,13.92001,R,ugm-3,5.826,R,ugm-3 (Ref.eq)
06-01-2024,12:00,6.85,R,ugm-3 (FIDAS),6.97207,R,ugm-3,19.22929,R,ugm-3,29.91965,R,ugm-3,42.50841,R,ugm-3,4.009,R,ugm-3 (Ref.eq)
06-01-2024,13:00,5.85,R,ugm-3 (FIDAS),4.55254,R,ugm-3,15.56909,R,ugm-3,22.54955,R,ugm-3,46.00089,R,ugm-3,3.561,R,ugm-3 (Ref.eq)
06-01-2024,14:00,6.675,R,ugm-3 (FIDAS),3.50195,R,ugm-3,17.32639,R,ugm-3,22.69598,R,ugm-3,43.40648,R,ugm-3,3.986,R,ugm-3 (Ref.eq)
